zinc_id,smiles
ZINC000000002140,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)OC(=O)CC[C@H]12
ZINC000000002142,CC(=O)O[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000002143,CCC(=O)O[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000002156,O=[N+]([O-])c1ccc(/C=N/N2CCNC2=S)o1
ZINC000000002157,CSc1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1
ZINC000000002194,Cc1ccc(S(=O)(=O)/N=C(\O)NC2CCCC2)cc1
ZINC000000002196,Cc1ccc(S(=O)(=O)/N=C(\O)N2CCCC2)cc1
ZINC000000002199,Cc1ccc(S(=O)(=O)/N=C(\O)N[C@@H](C)Cc2ccccc2)cc1
ZINC000000002205,C[C@@]12C=CC3=C4CCC(=O)C=C4CC[C@@H]3[C@H]1CC[C@@H]2O
ZINC000000002236,C=CCC(CC)(CC)C(N)=O
ZINC000000002242,C[C@H]1C(=O)O[C@@H]2[C@H]1CC[C@@]1(C)C(=O)C=C[C@](C)(O)[C@H]21
ZINC000000002285,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(O)[C@H]3CC[C@]21C
ZINC000000002292,C[C@H]1CC2=CC(=O)CC[C@H]2[C@H]2CC[C@]3(C)[C@@H](CC[C@H]3O)[C@H]12
ZINC000000002295,C[C@@]12CC(=O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]43C)[C@H]1CCC(=O)O2
ZINC000000002296,C[C@]12CC(=O)[C@]3(F)[C@H](CCC4=CC(=O)CC[C@]43C)[C@@H]1CCC(=O)O2
ZINC000000002297,CCC(=O)O[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C[C@]4(C)[C@H]3CC[C@@]21C
ZINC000000002307,CC(C)NC[C@@H](O)c1ccc(N)c(C#N)c1
ZINC000000002330,COC1=C(C)[C@@](C)(O)c2[nH]c3ccc(OC)cc3c2C1=O
ZINC000000002379,CO/C(O)=C1\CN(C[C@H]2CCc3ccccc3O2)CCC1=O
ZINC000000002381,CO/C(O)=C1\CN(C[C@H]2COc3ccccc3O2)CCC1=O
ZINC000000002466,Cc1[nH]c(=O)c(C#N)cc1C(=O)c1cccs1
ZINC000000002531,O=C(O)CCC(=O)/C=C/c1cccc(C(F)(F)F)c1
ZINC000000002532,C/C(=N\NC(N)=S)c1cc2c(cn1)[nH]c1ccccc12
